Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2013","2013","1000 US$","40","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","33","Canada","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2016","2016","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","66","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","73","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","30","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1997","1997","1000 US$","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1999","1999","1000 US$","22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","50","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","96","China, Hong Kong SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2002","2002","1000 US$","7","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","128","China, Macao SAR","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","3009","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1988","1988","1000 US$","37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","175","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","41","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","33","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","11","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","30","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","41","China, mainland","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1987","1987","1000 US$","14889","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","9092","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","1278","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","15719","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1993","1993","1000 US$","217","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","3269","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1995","1995","1000 US$","8771","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","168","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1997","1997","1000 US$","98","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1998","1998","1000 US$","91","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","214","China, Taiwan Province of","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2000","2000","1000 US$","60","A","Aggregate, may include official, semi-official, estimated or calculated data"
